year,label,page,lineup,days,entries,alts
2023,HEROIC,HEROIC,TeSeS|cadiaN|jabbi|sjuush|stavn,277,93,4
2023,Liquid,Team Liquid,EliGE|NAF|YEKINDAR|nitr0|oSee,155,69,3
2023,MOUZ,MOUZ,JDC|dexter|frozen|torzsi|xertioN,179,148,2
2023,Monte,Monte,DemQQ|Woro2k|br0|kRaSnaL|sdy,173,34,3
2023,Natus Vincere,Natus Vincere,Perfecto|b1t|electroNic|npl|s1mple,180,61,3
2023,Virtus.pro,Virtus.pro,FL1T|Jame|fame|mir|n0rb3r7,135,102,2
2023,fnatic,Fnatic,FASHR|KRIMZ|mezii|nicoodoz|roeJ,181,128,3
2024,9z,9z Team,HUASOPEEK|Martinez|buda|dgt|max,346,52,1
2024,Astralis,Astralis,Staehr|br0|dev1ce|jabbi|stavn,200,65,3
2024,Complexity,Complexity,EliGE|Grim|JT|floppy|hallzerk,346,117,1
2024,Eternal Fire,Eternal Fire,Calyx|MAJ3R|Wicadia|XANTARES|woxic,366,49,1
2024,FURIA,FURIA,FalleN|KSCERATO|chelo|skullz|yuurih,176,43,2
2024,FaZe,FaZe Clan,broky|frozen|karrigan|rain|ropz,366,57,1
2024,Falcons,Team Falcons,Magisk|Snappi|SunPayus|dupreeh|maden,185,57,3
2024,G2,G2 Esports,NiKo|Snax|huNter-|m0NESY|malbsMd,182,84,3
2024,HEROIC,HEROIC,NertZ|TeSeS|degster|kyxsan|sjuush,234,93,2
2024,Imperial,Imperial Esports,HEN1|VINI|decenty|felps|noway,197,68,2
2024,Liquid,Team Liquid,NAF|Twistzz|YEKINDAR|cadiaN|skullz,169,69,2
2024,MIBR,MIBR,brnz4n|drop|exit|insani|saffee,267,74,1
2024,MOUZ,MOUZ,Brollan|Jimpphat|siuhy|torzsi|xertioN,358,148,1
2024,Natus Vincere,Natus Vincere,Aleksib|b1t|iM|jL|w0nderful,366,61,1
2024,SAW,SAW,MUTiRiS|arrozdoce|ewjerkz|rmn|story,282,50,3
2024,Spirit,Team Spirit,chopper|donk|magixx|sh1ro|zont1x,366,39,1
2024,The MongolZ,The MongolZ,910|Senzu|Techno4K|bLitz|mzinho,366,56,1
2024,Virtus.pro,Virtus.pro,FL1T|Jame|electroNic|fame|n0rb3r7,240,102,3
2024,Vitality,Team Vitality,Spinx|ZywOo|apEX|flameZ|mezii,366,36,1
2024,paiN,PaiN Gaming,biguzera|kauez|lux|nqz|snow,242,66,2
2025,3DMAX,3DMAX,Ex3rcice|Graviti|Lucky|Maka|bodyy,326,105,2
2025,Astralis,Astralis,HooXi|Magisk|Staehr|dev1ce|jabbi,121,65,3
2025,Aurora,Aurora Gaming,MAJ3R|Wicadia|XANTARES|jottAAA|woxic,265,46,3
2025,B8,B8,alex666|esenthial|headtr1ck|kensizor|npl,365,29,1
