year,team,days,lineup,igl,awp,worst_conf,status
2018,Renegades,233,AZR|Nifty|USTILO|jkaem|jks,AZR,Nifty,medium,ok
2018,Space Soldiers,1,Calyx|MAJ3R|XANTARES|ngiN|paz,MAJ3R,,high,NO_AWP
2018,TYLOO,306,BnTeT|DD|captainMo|somebody|xccurate,BnTeT,xccurate,medium,ok
2018,Virtus.pro,139,MICHU|NEO|Snax|byali|pashaBiceps,NEO,pashaBiceps,low,ok
2018,fnatic,144,Golden|JW|KRIMZ|Lekr0|flusha,Golden,JW,high,ok
2019,AVANGAR,175,AdreN|Jame|SANJI|buster|qikert,Jame,Jame,high,ok
2019,Astralis,365,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,gla1ve,dev1ce,high,ok
2019,CR4ZY,273,EspiranTo|LETN1|huNter-|nexa|ottoNd,nexa,EspiranTo,medium,ok
2019,ENCE,234,Aerial|Aleksib|allu|sergej|xseveN,Aleksib,allu,high,ok
2019,Evil Geniuses,97,Brehze|CeRq|Ethan|stanislaw|tarik,stanislaw,CeRq,high,ok
2019,FORZE,365,FL1T|Jerry|almazer|facecrack|xsepower,almazer,Jerry|xsepower,medium,ok
2019,FURIA,265,KSCERATO|VINI|ableJ|arT|yuurih,arT,,high,NO_AWP
2019,FaZe,127,AdreN|GuardiaN|NiKo|olofmeister|rain,AdreN,GuardiaN,high,ok
2019,G2,203,AMANEK|JACKZ|Lucky|kennyS|shox,shox,Lucky|kennyS,medium,ok
2019,HEROIC,102,NaToSaphiX|blameF|es3tag|friberg|stavn,blameF,,medium,NO_AWP
2019,Liquid,365,EliGE|NAF|Stewie2K|Twistzz|nitr0,nitr0,,high,NO_AWP
2019,MIBR,163,FalleN|TACO|coldzera|felps|fer,FalleN,FalleN|coldzera,low,ok
2019,MOUZ,292,chrisJ|frozen|karrigan|ropz|woxic,karrigan,chrisJ|woxic,medium,ok
2019,Natus Vincere,148,Edward|Zeus|electroNic|flamie|s1mple,Zeus,s1mple,high,ok
2019,Ninjas in Pyjamas,138,GeT_RiGhT|Lekr0|REZ|dennis|f0rest,Lekr0,,medium,NO_AWP
2019,OpTic,86,JUGi|Snappi|cajunb|k0nfig|refrezh,Snappi,JUGi,high,ok
2019,Renegades,304,AZR|Gratisfaction|Liazz|jkaem|jks,AZR,,high,NO_AWP
2019,Tricked,127,Bubzkji|HUNDEN|acoR|b0RUP|sjuush,HUNDEN,acoR,medium,ok
2019,Valiance,273,EspiranTo|LETN1|huNter-|nexa|ottoNd,nexa,EspiranTo,medium,ok
2019,Vitality,250,ALEX|NBK-|RpK|ZywOo|apEX,apEX,ZywOo,high,ok
2019,fnatic,233,Brollan|JW|KRIMZ|Xizt|twist,Xizt,JW,high,ok
2020,Astralis,131,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,gla1ve,dev1ce,high,ok
2020,BIG,365,XANTARES|k1to|syrsoN|tabseN|tiziaN,tabseN,syrsoN,high,ok
2020,Complexity,266,RUSH|blameF|k0nfig|oBo|poizon,blameF,,high,NO_AWP
2020,Evil Geniuses,366,Brehze|CeRq|Ethan|stanislaw|tarik,,CeRq,high,NO_IGL
2020,FURIA,366,HEN1|KSCERATO|VINI|arT|yuurih,arT,HEN1,high,ok
2020,FaZe,145,NiKo|broky|coldzera|olofmeister|rain,NiKo,broky,medium,ok
2020,G2,301,AMANEK|JACKZ|huNter-|kennyS|nexa,nexa,kennyS,high,ok
2020,GODSENT,177,STYKO|farlig|kRYSTAL|maden|zehN,kRYSTAL,farlig|maden,medium,ok
2020,Gen.G,255,BnTeT|autimatic|daps|koosta|s0m,daps,koosta,high,ok
2020,HEROIC,256,TeSeS|b0RUP|cadiaN|niko|stavn,cadiaN,cadiaN|niko,medium,ok
2020,Liquid,214,EliGE|NAF|Stewie2K|Twistzz|nitr0,nitr0,,high,NO_AWP
2020,MOUZ,222,chrisJ|frozen|karrigan|ropz|woxic,karrigan,chrisJ|woxic,medium,ok
2020,Natus Vincere,330,Boombl4|Perfecto|electroNic|flamie|s1mple,Boombl4,s1mple,high,ok
2020,Ninjas in Pyjamas,226,Plopski|REZ|hampus|nawwk|twist,hampus,nawwk,medium,ok
2020,OG,366,Aleksib|ISSAA|NBK-|mantuu|valde,Aleksib,mantuu,high,ok
2020,Spirit,366,chopper|iDISBALANCE|magixx|mir|sdy,chopper,,high,NO_AWP
